,0,1_x,1_y,1,Centrality,id,name,ml_target,Centrality_std
193,nfultz,0.086937856,0.336357249,0.362548259,0.785843363,27803,nfultz,0,11.70880762
14,dalinhuang99,0.067832993,0.182555209,0.320366315,0.570754518,31890,dalinhuang99,0,7.341153248
24,antirez,0.046366856,0.086760235,0.313017882,0.446144974,23589,antirez,1,4.810796922
108,shayan-taheri,0.0351508,0.073203818,0.301102168,0.409456786,33671,shayan-taheri,0,4.065796308
39,bradfitz,0.028979285,0.047577523,0.30701489,0.383571699,22321,bradfitz,1,3.540166461
831,WillemJan,0.012182033,0.023838832,0.30671158,0.342732445,26649,WillemJan,1,2.710873133
227,rfthusn,0.022378448,0.031768252,0.282335237,0.336481936,36652,rfthusn,0,2.583948552
488,Bunlong,0.013094344,0.026866339,0.295372735,0.335333418,19222,Bunlong,0,2.560626415
535,jnunemaker,0.010357411,0.017142045,0.30379603,0.331295487,25102,jnunemaker,1,2.478631048
679,rasbt,0.01325534,0.018757374,0.294861762,0.326874476,14954,rasbt,1,2.388856766
349,silky,0.015777611,0.023281808,0.287803589,0.326863008,7195,silky,0,2.388623896
18,amiryeg,0.007405817,0.013778758,0.305171831,0.326356406,14003,amiryeg,1,2.378336699
130,iam-peekay,0.009713427,0.0170503,0.298077002,0.324840729,1089,iam-peekay,1,2.347558934
47,cloudhead,0.016421595,0.024173104,0.280893773,0.321488473,7976,cloudhead,1,2.279487077
1504,boxvc,0.003971235,0.008388131,0.302980712,0.315340078,5673,boxvc,1,2.154636048
387,JonnyBanana,0.010733069,0.019802767,0.284581274,0.31511711,19253,JonnyBanana,0,2.15010839
104,ronenhamias,0.01094773,0.021906936,0.280124375,0.312979041,10001,ronenhamias,0,2.106692176
60,ice1000,0.006976495,0.010864087,0.294173252,0.312013833,11225,ice1000,1,2.087092395
1026,amueller,0.009284104,0.010638891,0.291002263,0.310925259,37289,amueller,1,2.064987491
2938,surajit-techie,0.00230761,0.004062421,0.302379978,0.308750008,29584,surajit-techie,1,2.020816248
329,jogendra,0.004615219,0.006728173,0.297312388,0.30865578,17850,jogendra,1,2.01890283
325,boygaggoo,0.005205538,0.008812676,0.294442286,0.3084605,6957,boygaggoo,1,2.014937411
1075,gabrielpconceicao,0.009659762,0.015818871,0.282298561,0.307777194,13638,gabrielpconceicao,0,2.001062007
115,anishathalye,0.009498766,0.012682982,0.284665147,0.306846895,8357,anishathalye,1,1.982171088
2672,aymericdamien,0.00633251,0.009020539,0.291021748,0.306374798,26110,aymericdamien,1,1.972584552
335,nelsonic,0.016850918,0.021335586,0.267833978,0.306020482,18163,nelsonic,0,1.965389721
139,pengliheng,0.011108726,0.017892867,0.275394253,0.304395846,5629,pengliheng,0,1.932399404
99,jason9263,0.002039283,0.003331776,0.297454818,0.302825877,30948,jason9263,1,1.900519185
1849,manishmarahatta,0.003541913,0.005468665,0.292589014,0.301599591,24225,manishmarahatta,1,1.875617872
2607,hepingtao,0.002092948,0.003678665,0.295252347,0.30102396,17330,hepingtao,1,1.863928956
40,kachayev,0.003810239,0.005643419,0.290836749,0.300290408,23783,kachayev,1,1.849033233
745,jlstr,0.001931952,0.002154061,0.295804934,0.299890948,18160,jlstr,1,1.840921679
1025,rhiever,0.006386176,0.007368551,0.285844583,0.299599309,17099,rhiever,1,1.834999586
1346,endocrimes,0.00311259,0.00411251,0.291646635,0.298871734,21768,endocrimes,1,1.820225251
818,amannayak0007,0.003219921,0.004554887,0.290302552,0.298077359,12884,amannayak0007,1,1.804094434
331,lfarah,0.006815499,0.008892565,0.282133641,0.297841704,18663,lfarah,1,1.799309161
31,byt3bl33d3r,0.003219921,0.004103642,0.290448047,0.29777161,1407,byt3bl33d3r,1,1.797885817
2301,saopayne,0.002200279,0.002982749,0.292520093,0.297703121,15843,saopayne,1,1.796495064
2240,jsn5,0.001019642,0.001571221,0.295061933,0.297652795,19454,jsn5,1,1.795473131
711,hunkim,0.005795857,0.00929337,0.282151956,0.297241183,17792,hunkim,1,1.787114817
633,JuIioCesar,0.00230761,0.002945691,0.291715145,0.296968446,337,JuIioCesar,1,1.781576533
2662,holdenk,0.003273586,0.004423048,0.289009229,0.296705863,910,holdenk,1,1.776244459
316,eda-ricercatore,0.006439841,0.009314068,0.280921006,0.296674915,17010,eda-ricercatore,1,1.775616014
396,aedorado,0.002253944,0.00287953,0.291509712,0.296643186,2333,aedorado,1,1.774971727
3276,Jeet1994,0.000912311,0.001273966,0.294382458,0.296568735,22063,Jeet1994,1,1.773459903
466,mistrydarshan99,0.00311259,0.003906572,0.28937482,0.296393982,28006,mistrydarshan99,1,1.769911317
1638,nghialv,0.003058925,0.003452239,0.289268896,0.29578006,5475,nghialv,1,1.75744484
2216,MichaelMMeskhi,0.001180638,0.001398234,0.292736811,0.295315683,18060,MichaelMMeskhi,1,1.748015065
985,shashankg7,0.001126972,0.001615721,0.292343017,0.29508571,506,shashankg7,1,1.743345181
495,furkanonder,0.004507889,0.007324143,0.283172181,0.295004212,953,furkanonder,1,1.741690259
2752,shanmdphd,0.001180638,0.001519809,0.292293867,0.294994313,27839,shanmdphd,1,1.741489246
1087,josephjacks,0.002200279,0.003264698,0.28943263,0.294897607,21694,josephjacks,1,1.739525512
2948,ambodi,0.001556295,0.001774599,0.29123625,0.294567145,11044,ambodi,1,1.732815041
3866,ankitshah009,0.000482988,0.000823719,0.293250332,0.29455704,27101,ankitshah009,1,1.732609853
1469,mansimarkaur,0.00160996,0.001755994,0.290943825,0.294309779,1783,mansimarkaur,1,1.727588912
1479,MinhasKamal,0.001126972,0.001519188,0.291519488,0.294165648,22849,MinhasKamal,1,1.724662146
2955,cleardusk,0.001073307,0.001595009,0.29123625,0.293904566,11843,cleardusk,1,1.719360533
3793,limberc,0.000697649,0.001169056,0.291960086,0.293826791,36473,limberc,1,1.71778122
1033,lychees,0.002790598,0.003579071,0.287403941,0.29377361,32987,lychees,1,1.716701303
1762,dgrtwo,0.005044542,0.004257777,0.28446952,0.29377184,34603,dgrtwo,1,1.716665363
2184,agramfort,0.001341634,0.001456957,0.290973041,0.293771632,6984,agramfort,1,1.716661141
420,sebastianruder,0.006547172,0.006234137,0.280957324,0.293738632,16631,sebastianruder,1,1.715991044
2283,flyaways,0.002361275,0.003170448,0.287965667,0.29349739,30334,flyaways,1,1.711092314
2812,4rshdeep,0.001663626,0.002063769,0.289557963,0.293285358,19018,4rshdeep,1,1.706786717
1798,PetarV-,0.000912311,0.001461839,0.290710307,0.293084457,8808,PetarV-,1,1.702707169
428,SoyGema,0.001824622,0.002444968,0.288682904,0.292952493,8061,SoyGema,1,1.700027482
1260,SuriyaaKudoIsc,0.006278845,0.008716887,0.277930096,0.292925827,36628,SuriyaaKudoIsc,0,1.699485996
619,DrDab,0.001126972,0.001239179,0.290525704,0.292891856,17651,DrDab,1,1.698796158
1040,adeshpande3,0.004507889,0.00544284,0.282886511,0.29283724,20528,adeshpande3,1,1.697687122
2675,lionsoul2014,0.001448964,0.001687841,0.289577255,0.292714059,10497,lionsoul2014,1,1.695185775
3075,coldmanck,0.000751315,0.001121089,0.290827019,0.292699423,17126,coldmanck,1,1.694888575
3722,daminisatya,0.002897929,0.002860183,0.286787622,0.292545733,17317,daminisatya,1,1.691767698
3610,rreece,0.000482988,0.000631573,0.291304568,0.292419129,30510,rreece,1,1.689196835
912,Xiaobaxi,0.001180638,0.002074411,0.289134196,0.292389245,34856,Xiaobaxi,1,1.688589993
3062,nguptaa,0.001073307,0.001484181,0.28982828,0.292385768,2767,nguptaa,1,1.688519401
3309,saikatbsk,0.000643984,0.000784374,0.290943825,0.292372183,4573,saikatbsk,1,1.688243538
2800,Mathieu-Lu,0.001073307,0.001622137,0.289538674,0.292234118,18918,Mathieu-Lu,1,1.685439949
2908,sott0n,0.00080498,0.000986617,0.290438343,0.29222994,11027,sott0n,1,1.685355109
