,Account_name,Degree,betweenness,closeness,Centrality
27530,chahatagarwal,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
23749,Nava2,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
23748,JonDemelo,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
26933,csxiaoyaojianxian,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
26934,longIvan,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
27529,TDA,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
16792,nariman,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
16791,egormkn,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
4277,krmao,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
21134,BrandanMiller,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
11618,akanieski,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
4276,bobmoff,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
3962,evrial,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
27525,jxpxxzj,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
27524,shuxinpei,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
11617,hanleyhansen,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
21135,ribordy,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
25265,alittlebitweird,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
3963,Ph0enixxx,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
25266,oalsing,3.6133694670280034e-05,0.0,3.6133694670280034e-05,7.226738934056007e-05
27371,scandeiro,3.6133694670280034e-05,0.0,4.8178259560373376e-05,8.431195423065341e-05
24818,tgfarias,3.6133694670280034e-05,0.0,4.8178259560373376e-05,8.431195423065341e-05
24819,aleckyann,7.226738934056007e-05,2.6113821399349598e-09,7.226738934056007e-05,0.00014453739006326007
27589,haochenli,3.6133694670280034e-05,0.0,0.1572537898468641,0.1572899235415344
25721,quenti77,3.6133694670280034e-05,0.0,0.1748152075947312,0.1748513412894015
15619,MrDarkSkil,3.6133694670280034e-05,0.0,0.18135346549517545,0.18138959918984573
26393,manse,3.6133694670280034e-05,0.0,0.18222782990624123,0.18226396360091152
25125,carsoncgibbons,3.6133694670280034e-05,0.0,0.18234328424073387,0.18237941793540416
17504,ReemmaMP,3.6133694670280034e-05,0.0,0.1834328259797671,0.18346895967443738
17649,SpiralMoon,3.6133694670280034e-05,0.0,0.18367915911929583,0.18371529281396612
12711,krim,3.6133694670280034e-05,0.0,0.1841652220974416,0.1842013557921119
19186,Alexis-Bize,3.6133694670280034e-05,0.0,0.18428191608455047,0.18431804977922076
14830,jr-cologne,3.6133694670280034e-05,0.0,0.18474646852728824,0.18478260222195853
14484,letterj,3.6133694670280034e-05,0.0,0.18656658776115173,0.18660272145582202
26876,ChiuMungZitAlexander,7.226738934056007e-05,7.220732755134146e-05,0.1866245566562047,0.1867690313730966
519,julian-ladjani,3.6133694670280034e-05,0.0,0.18682141534062127,0.18685754903529156
24601,LucasVigneron,3.6133694670280034e-05,0.0,0.1879921555887601,0.18802828928343038
21403,abuddiga,3.6133694670280034e-05,0.0,0.18825859127918507,0.18829472497385535
25625,Xiaoyanpeng,3.6133694670280034e-05,0.0,0.18898614951657008,0.18902228321124037
23272,SaigyoujiYuyuko233,3.6133694670280034e-05,0.0,0.18989799658215792,0.1899341302768282
6977,kieran-bamforth,3.6133694670280034e-05,0.0,0.19174435340179247,0.19178048709646275
15238,CeliaCha,3.6133694670280034e-05,0.0,0.1918841786449182,0.19192031233958848
17338,mainul94,3.6133694670280034e-05,0.0,0.1919721732238607,0.192008306918531
26275,Irvandoval,3.6133694670280034e-05,0.0,0.19204556371318288,0.19208169740785316
25033,dasaCoder,3.6133694670280034e-05,0.0,0.1923557567077974,0.19239189040246768
26918,jclopezdev,3.6133694670280034e-05,0.0,0.19360525769210193,0.19364139138677222
24518,ibrokemycomputer,3.6133694670280034e-05,0.0,0.19361339795324858,0.19364953164791887
25215,johnfredcee,3.6133694670280034e-05,0.0,0.19476944143473604,0.19480557512940633
27202,jzgoda,3.6133694670280034e-05,0.0,0.19510641278669924,0.19514254648136953
25093,davidvenin,3.6133694670280034e-05,0.0,0.1953353914957473,0.1953715251904176
4828,Mechtecs,3.6133694670280034e-05,0.0,0.195958828848919,0.19599496254358928
20468,DylanAllen,3.6133694670280034e-05,0.0,0.19629016961781012,0.1963263033124804
27261,bpodwinski,3.6133694670280034e-05,0.0,0.19672483260154852,0.1967609662962188
19254,WisZhou,3.6133694670280034e-05,0.0,0.19674164273870445,0.19677777643337474
4393,Webstylerin,3.6133694670280034e-05,0.0,0.19720927276748382,0.1972454064621541
24328,artokun,3.6133694670280034e-05,0.0,0.19725010255316575,0.19728623624783603
27485,leusonmario,3.6133694670280034e-05,0.0,0.1973501365337463,0.1973862702284166
27072,harsha935,3.6133694670280034e-05,0.0,0.1983461173946638,0.19838225108933408
23068,tareqanwar,3.6133694670280034e-05,0.0,0.1989388049907438,0.19897493868541408
17889,Gideon877,3.6133694670280034e-05,0.0,0.19945438024533457,0.19949051394000486
23308,ann-kilzer,3.6133694670280034e-05,0.0,0.1994774207420887,0.199513554436759
20473,RomeuG,3.6133694670280034e-05,0.0,0.19983233966718367,0.19986847336185395
27139,danielhookins,3.6133694670280034e-05,0.0,0.19985980465216419,0.19989593834683447
23767,jimmy18dev,3.6133694670280034e-05,0.0,0.20099094391785835,0.20102707761252864
11454,stansmet,3.6133694670280034e-05,0.0,0.2010435945711535,0.2010797282658238
18519,kschingiz,3.6133694670280034e-05,0.0,0.20117680679441433,0.2012129404890846
25384,kmdrn7,3.6133694670280034e-05,0.0,0.2013674164927772,0.2014035501874475
18673,hardo,7.226738934056007e-05,0.0,0.20167903291889835,0.2017513003082389
18672,dizys,7.226738934056007e-05,0.0,0.20167903291889835,0.2017513003082389
15806,AntoineGagnon,3.6133694670280034e-05,0.0,0.2019133788968143,0.20194951259148458
26256,lfsagostini,3.6133694670280034e-05,0.0,0.2019399429513988,0.2019760766460691
20890,apostolidhs,3.6133694670280034e-05,0.0,0.20244005799182652,0.2024761916864968
26745,hwanyoungChoi,3.6133694670280034e-05,0.0,0.20251276553513853,0.20254889922980882
23534,lepatrick714,7.226738934056007e-05,1.512692876897228e-08,0.20287410869330982,0.20294639120957916
18563,gentlerainsky,3.6133694670280034e-05,0.0,0.20304854902752592,0.2030846827221962
7353,Eihen,3.6133694670280034e-05,0.0,0.20345974192704117,0.20349587562171145
15642,Skoda091,3.6133694670280034e-05,0.0,0.20369674512101685,0.20373287881568714
